Name,First release date,Publisher,Platform,Aliases,rating,raters
BioShock,"August 21, 2007","2K Games
                      Feral Interactive
                      Take-Two Interactive Software, Inc.
                  
                
              
  
          

PublisherPublisher of this game.","Mac
                      Xbox 360
                      PlayStation 3
                      Xbox 360 Games Store
                      PlayStation Network (PS3)
                      PC
                      iPhone
                      iPad
                  
                
              
  
          

PlatformPlatform of this game.",,4.6,132
CivCity: Rome,"July 24, 2006","2K Games
                  
                
              
  
          

PublisherPublisher of this game.","PC
                  
                
              
  
          

PlatformPlatform of this game.",,,
Sid Meier's Civilization IV: Warlords,"July 26, 2006","2K Games
                      Take-Two Interactive Software, Inc.
                  
                
              
  
          

PublisherPublisher of this game.","Mac
                      PC
                  
                
              
  
          

PlatformPlatform of this game.","Civilization 4: Warlords
Civ 4 Warlords
        
                
                      Civilization 4: Warlords
Civ 4 Warlords",,
The Darkness,"June 25, 2007","2K Games
                  
                
              
  
          

PublisherPublisher of this game.","Xbox 360
                      PlayStation 3
                  
                
              
  
          

PlatformPlatform of this game.",,3.8,28
Dungeon Siege II: Broken World,"September 8, 2006","2K Games
                  
                
              
  
          

PublisherPublisher of this game.","PC
                  
                
              
  
          

PlatformPlatform of this game.",,,
The Da Vinci Code,"April 14, 2006","1C Company
                  
                
              
  
          

PublisherPublisher of this game.","PlayStation 2
                      Xbox
                      PC
                  
                
              
  
          

PlatformPlatform of this game.",,,
Dungeon Siege: Throne of Agony,"October 30, 2006","2K Games
                  
                
              
  
          

PublisherPublisher of this game.","PlayStation Portable
                  
                
              
  
          

PlatformPlatform of this game.",,,
The Elder Scrolls IV: Oblivion,"March 20, 2006","2K Games
                      Bethesda Softworks
                  
                
              
  
          

PublisherPublisher of this game.","Xbox 360
                      PlayStation 3
                      Xbox 360 Games Store
                      PC
                  
                
              
  
          

PlatformPlatform of this game.","Elder Scrolls 4
        
                
                      Elder Scrolls 4",4.4,70
Family Guy Video Game!,October 2006,"2K Games
                      Fox Interactive
                  
                
              
  
          

PublisherPublisher of this game.","PlayStation Portable
                      PlayStation 2
                      Xbox
                  
                
              
  
          

PlatformPlatform of this game.",,5,1
Ghost Rider,"February 13, 2007","2K Games
                  
                
              
  
          

PublisherPublisher of this game.","Game Boy Advance
                      PlayStation Portable
                      PlayStation 2
                  
                
              
  
          

PlatformPlatform of this game.",,,
NBA 2K7,"September 25, 2006","2K Sports
                  
                
              
  
          

PublisherPublisher of this game.","PlayStation 2
                      Xbox 360
                      Xbox
                      PlayStation 3
                  
                
              
  
          

PlatformPlatform of this game.","NBA 2007
        
                
                      NBA 2007",3,1
College Hoops 2K7,"November 20, 2006","2K Sports
                  
                
              
  
          

PublisherPublisher of this game.","PlayStation 2
                      Xbox 360
                      Xbox
                      PlayStation 3
                  
                
              
  
          

PlatformPlatform of this game.",,,
NHL 2K7,"September 12, 2006","2K Sports
                      Take-Two Interactive Software, Inc.
                  
                
              
  
          

PublisherPublisher of this game.","PlayStation 2
                      Xbox 360
                      Xbox
                      PlayStation 3
                  
                
              
  
          

PlatformPlatform of this game.",,,
Prey,"July 11, 2006","Sold Out Sales & Marketing Ltd.
                      2K Games
                      3D Realms Entertainment
                      Spike Co., Ltd.
                      Aspyr Media, Inc.
                  
                
              
  
          

PublisherPublisher of this game.","Mac
                      Xbox 360
                      PC
                      Zeebo
                  
                
              
  
          

PlatformPlatform of this game.",,3.4,12
Sid Meier's Railroads!,"October 17, 2006","1C Company
                      Feral Interactive
                      2K Games
                      Sold Out Sales & Marketing Ltd.
                  
                
              
  
          

PublisherPublisher of this game.","PC
                  
                
              
  
          

PlatformPlatform of this game.",,,
Stronghold Legends,"October 23, 2006","1C Company
                  
                
              
  
          

PublisherPublisher of this game.","PC
                  
                
              
  
          

PlatformPlatform of this game.",,,
Quantum of Solace,"November 4, 2008","Activision
                      Square Enix
                  
                
              
  
          

PublisherPublisher of this game.","PlayStation 2
                      Xbox 360
                      PlayStation 3
                      Wii
                      Nintendo DS
                      PC
                  
                
              
  
          

PlatformPlatform of this game.","QoS
007: Quantum of Solace 

        
                
                      QoS
007: Quantum of Solace",3.2,23
Call of Duty 2,"October 25, 2005","Activision
                      Hands-On Mobile
                      Aspyr Media, Inc.
                  
                
              
  
          

PublisherPublisher of this game.","Mac
                      Xbox 360
                      PC
                      Xbox One
                  
                
              
  
          

PlatformPlatform of this game.","COD2

        
                
                      COD2",4.5,21
Call of Duty 3,"November 7, 2006","Activision
                  
                
              
  
          

PublisherPublisher of this game.","PlayStation 2
                      Xbox 360
                      Xbox
                      PlayStation 3
                      Wii
                      Xbox 360 Games Store
                  
                
              
  
          

PlatformPlatform of this game.","CoD3
        
                
                      CoD3",3.6,18
Enemy Territory: Quake Wars,"May 30, 2007","Activision
                      Zenimax Media Inc
                  
                
              
  
          

PublisherPublisher of this game.","Mac
                      Xbox 360
                      PlayStation 3
                      PC
                      Linux
                  
                
              
  
          

PlatformPlatform of this game.","ET: Quake Wars
        
                
                      ET: Quake Wars",2.8,5
Marvel Ultimate Alliance,"October 24, 2006","Activision
                  
                
              
  
          

PublisherPublisher of this game.","Game Boy Advance
                      PlayStation Portable
                      PlayStation 2
                      Xbox 360
                      Xbox
                      PlayStation 3
                      Wii
                      PC
                      Xbox One
                      PlayStation 4
                  
                
              
  
          

PlatformPlatform of this game.","MUA
        
                
                      MUA",3.2,23
The Movies: Stunts & Effects,"June 6, 2006","Activision
                      Feral Interactive
                  
                
              
  
          

PublisherPublisher of this game.","PC
                  
                
              
  
          

PlatformPlatform of this game.",,,
Over the Hedge,"May 9, 2006","Activision
                  
                
              
  
          

PublisherPublisher of this game.","Game Boy Advance
                      PlayStation 2
                      GameCube
                      Xbox
                      Nintendo DS
                      PC
                  
                
              
  
          

PlatformPlatform of this game.","Ab durch die Hecke
        
                
                      Ab durch die Hecke",,
Shrek the Third,"May 15, 2007","Activision
                  
                
              
  
          

PublisherPublisher of this game.","PlayStation Portable
                      PlayStation 2
                      Xbox 360
                      Wii
                      Nintendo DS
                      PC
                  
                
              
  
          

PlatformPlatform of this game.",,,
Tony Hawk's Downhill Jam,"October 24, 2006","Activision
                  
                
              
  
          

PublisherPublisher of this game.","Game Boy Advance
                      PlayStation 2
                      Wii
                      Nintendo DS
                  
                
              
  
          

PlatformPlatform of this game.",,4.5,2
Tony Hawk's Project 8,"November 7, 2006","Activision
                  
                
              
  
          

PublisherPublisher of this game.","PlayStation Portable
                      PlayStation 2
                      Xbox 360
                      Xbox
                      PlayStation 3
                  
                
              
  
          

PlatformPlatform of this game.","THP8
        
                
                      THP8",4,5
Transformers: The Game,"June 26, 2007","Activision
                  
                
              
  
          

PublisherPublisher of this game.","PlayStation Portable
                      PlayStation 2
                      Xbox 360
                      PlayStation 3
                      Wii
                      PC
                  
                
              
  
          

PlatformPlatform of this game.",,2,1
X-Men: The Official Game,"March 16, 2006","Activision
                  
                
              
  
          

PublisherPublisher of this game.","Game Boy Advance
                      PlayStation 2
                      Xbox 360
                      GameCube
                      Xbox
                      Nintendo DS
                      Xbox 360 Games Store
                      PC
                  
                
              
  
          

PlatformPlatform of this game.",,2,2
Alone in the Dark,"June 24, 2008","Atari SA
                  
                
              
  
          

PublisherPublisher of this game.","PlayStation 2
                      Xbox 360
                      PlayStation 3
                      Wii
                      PC
                  
                
              
  
          

PlatformPlatform of this game.","AITD
Alone in the Dark 5
Alone in the Dark: Inferno
        
                
                      AITD
Alone in the Dark 5
Alone in the Dark: Inferno",2.6,25
