Company Name,Website
2K Games,www.2kgames.com
Activision,www.activision.com
Atari,www.atari.com
"Atlus Co., Ltd.",www.atlus.co.j
Bethesda Softworks,www.bethsoft.com
BioWare,www.bioware.com
Pandemic Studios,www.pandemicstudios.com
Blizzard Entertainment,www.blizzard.com
"Buena Vista Games, Inc.",bvinteractive.go.com
Capcom,www.capcom.com
Codemasters,www.codemasters.com
D3 Publisher Inc.,www.d3p.us
Eidos Interactive,www.eidos.co.uk
Electronic Arts,www.ea.com
Funcom Productions A/S,www.funcom.com
Gameloft S.A.,www.gameloft.com
"Hudson Entertainment, Inc.",web.archive.org/web/20111209130830/http://www.hudsonentertainment.com
Koei Tecmo Europe Ltd.,www.koei.co.uk
Konami,www.konami.com
LucasArts Entertainment Company LLC,www.lucasarts.com
Majesco Entertainment,www.majescoent.com
Xbox Game Studios,www.microsoft.com/games
Midway Games,www.midway.com
Bandai Namco Entertainment,www.namcobandaigames.com
Natsume,www.natsume.com
NCsoft Corporation,www.ncsoft.com
Nintendo,www.nintendo.com
"RedOctane, Inc.",www.redoctane.com
Rockstar Games,www.rockstargames.com
Sega,www.sega.com
Sierra,www.sierra.com
SNK,s://www.snk-corp.co.j
Sony Interactive Entertainment,www.playstation.com
Daybreak Games,www.soe.com
Square Enix,www.square-enix.com
Tecmo,www.tecmoinc.com
THQ,www.thq.com
Ubisoft Entertainment,www.ubi.com
U.S. Army,WebsiteWebsite of this company.
Vivendi Games,WebsiteWebsite of this company.
WB Games,www.wbgames.com
Webzen Games Inc.,company.webzen.com/eng
